date,close,volume
2019/3/1,304859.5,211
2019/3/4,303400,293
2019/3/5,302600,179
2019/3/6,301375,141
2019/3/7,299050,269
2019/3/8,299000,241
2019/3/11,303279,203
2019/3/12,304235,243
2019/3/13,306300,357
2019/3/14,305350,144
2019/3/15,307250,332
2019/3/18,309996,256
2019/3/19,307900,237
2019/3/20,305505,217
2019/3/21,307120,169
2019/3/22,301225,311
2019/3/25,299380,320
2019/3/26,300961.01,210
2019/3/27,299764,259
2019/3/28,301249.95,203
2019/3/29,301215,460
2019/4/1,307800,361
2019/4/2,306000,248
2019/4/3,305750,201
2019/4/4,306460.95,266
2019/4/5,307776,347
2019/4/8,307461,128
2019/4/9,307380,123
2019/4/10,307000,180
2019/4/11,309875,183
2019/4/12,314250,214
2019/4/15,314500,182
2019/4/16,317500,140
2019/4/17,316040,127
2019/4/18,315330,91
2019/4/22,314100,103
2019/4/23,317684,153
2019/4/24,316000,230
2019/4/25,318500,261
2019/4/26,321000,386
2019/4/29,324921,396
2019/4/30,325080.01,204
2019/5/1,325900,272
2019/5/2,324214,200
2019/5/3,327765.61,247
2019/5/6,320000,609
2019/5/7,315119.99,657
2019/5/8,314750,412
2019/5/9,314400,415
2019/5/10,315500,408
2019/5/13,308360,494
2019/5/14,306850.01,308
2019/5/15,305580,234
2019/5/16,307936,161
2019/5/17,306355,134
2019/5/20,305362,112
2019/5/21,306225,164
2019/5/22,304300,122
2019/5/23,304115,420
2019/5/24,303000,131
2019/5/28,301050.01,265
2019/5/29,299860,393
2019/5/30,300877,188
2019/5/31,297060,253
2019/6/3,299742,271
2019/6/4,304000,205
2019/6/5,306400,162
2019/6/6,307900,406
2019/6/7,309265,253
2019/6/10,311524,199
2019/6/11,310238,163
2019/6/12,307195.5,197
2019/6/13,307445,154
2019/6/14,308206,100
2019/6/17,305480,133
2019/6/18,308884.62,278
2019/6/19,310966,270
2019/6/20,312900,305
2019/6/21,309000,287
2019/6/24,310650,154
2019/6/25,312700,337
2019/6/26,312705,223
2019/6/27,318285,385
2019/6/28,318350,260
2019/7/1,321891,433
2019/7/2,321515,188
2019/7/3,322900,156
2019/7/5,323149,190
2019/7/8,322451,129
2019/7/9,322200,128
2019/7/10,320591,212
2019/7/11,319837,396
2019/7/12,321093,120
2019/7/15,320300,143
2019/7/16,319273,205
2019/7/17,311600,460
2019/7/18,312003,554
2019/7/19,309217.5,270
2019/7/22,307135,348
2019/7/23,309340,330
2019/7/24,312000,203
2019/7/25,310750,202
2019/7/26,315000,209
2019/7/29,313529,182
2019/7/30,312430,202
2019/7/31,308666,174
2019/8/1,303660,270
2019/8/2,306000,238
2019/8/5,297785,509
2019/8/6,302325,289
2019/8/7,299182.25,299
2019/8/8,301905,228
2019/8/9,300435,267
2019/8/12,297259.26,104
2019/8/13,299510,216
2019/8/14,295000,237
2019/8/15,298066.9,193
2019/8/16,300555,145
2019/8/19,301414.01,188
2019/8/20,297505,144
2019/8/21,299305,274
2019/8/22,302260,277
2019/8/23,296922,512
2019/8/26,300899,230
2019/8/27,298420,167
2019/8/28,300990,166
2019/8/29,305039.94,251
2019/8/30,303078,239
2019/9/3,301356,211
2019/9/4,303300.01,100
2019/9/5,306066,223
2019/9/6,307260,181
2019/9/9,309701.05,241
