date,close,volume
2007/10/1,118790,40000
2007/10/2,119799,22000
2007/10/3,119290,16000
2007/10/4,119000,43000
2007/10/5,121100,30000
2007/10/8,123390,37000
2007/10/9,122615,31000
2007/10/10,124700,28000
2007/10/11,125500,35000
2007/10/12,127100,96000
2007/10/15,126200,57000
2007/10/16,127200,20000
2007/10/17,129995,100000
2007/10/18,129000,33000
2007/10/19,127100,44000
2007/10/22,126400,35000
2007/10/23,127990,31000
2007/10/24,127800,18000
2007/10/25,127500,42000
2007/10/26,127500,33000
2007/10/29,128210,39000
2007/10/30,128800,36000
2007/10/31,132500,93000
2007/11/1,131250,102000
2007/11/2,132500,121000
2007/11/5,133000,265000
2007/11/6,133800,38000
2007/11/7,134940,65000
2007/11/8,134575,82000
2007/11/9,132210,149000
2007/11/12,133710,116000
2007/11/13,135700,150000
2007/11/14,137500,94000
2007/11/15,135300,79000
2007/11/16,136475,48000
2007/11/19,136500,53000
2007/11/20,136500,28000
2007/11/21,134000,51000
2007/11/23,134100,10000
2007/11/26,136600,41000
2007/11/27,137480,42000
2007/11/28,137700,129000
2007/11/29,139200,33000
2007/11/30,140100,63000
2007/12/3,143200,112000
2007/12/4,144700,84000
2007/12/5,147500,77000
2007/12/6,148300,69000
2007/12/7,148220,78000
2007/12/10,149200,52000
2007/12/11,148900,59000
2007/12/12,144000,65000
2007/12/13,142400,73000
2007/12/14,143000,71000
2007/12/17,136400,70000
2007/12/18,135400,130000
2007/12/19,134500,41000
2007/12/20,134000,70000
2007/12/21,134000,61000
2007/12/24,137980,36000
2007/12/26,138500,94000
2007/12/27,137800,25000
2007/12/28,141100,46000
2007/12/31,141600,62000
2008/1/2,139300,62000
2008/1/3,139600,29000
2008/1/4,135500,71000
2008/1/7,133700,68000
2008/1/8,133685,53000
2008/1/9,130400,72000
2008/1/10,134200,89000
2008/1/11,132100,58000
2008/1/14,130410,38000
2008/1/15,129100,67000
2008/1/16,126400,90000
2008/1/17,131200,59000
2008/1/18,131200,59000
2008/1/22,135500,130000
2008/1/23,138500,95000
2008/1/24,138400,81000
2008/1/25,139100,107800
2008/1/28,138400,117100
2008/1/29,139700,84900
2008/1/30,139000,51800
2008/1/31,136000,101800
2008/2/1,135700,55600
2008/2/4,135800,40000
2008/2/5,136500,61300
2008/2/6,135400,49200
2008/2/7,135900,73000
2008/2/8,138400,52700
2008/2/11,139950,58500
2008/2/12,139700,58500
2008/2/13,143980,65700
2008/2/14,142990,79100
2008/2/15,143500,88600
2008/2/19,143200,61700
2008/2/20,143290,24300
2008/2/21,141105,37000
2008/2/22,139400,50300
2008/2/25,139700,41000
2008/2/26,139200,51000
2008/2/27,140700,30000
2008/2/28,140250,35700
2008/2/29,140000,54900
2008/3/3,136500,130000
2008/3/4,137100,56500
2008/3/5,139000,55300
2008/3/6,135500,48700
2008/3/7,133805,71500
2008/3/10,131400,102100
2008/3/11,131940,97200
2008/3/12,130900,62600
2008/3/13,130300,61000
2008/3/14,129360,67500
2008/3/17,128000,86600
2008/3/18,128900,57600
2008/3/19,128490,57400
2008/3/20,130230,76500
2008/3/24,130250,47700
2008/3/25,129200,50000
2008/3/26,128490,51700
2008/3/27,130250,82500
2008/3/28,133900,88600
2008/3/31,133400,69400
2008/4/1,132900,54000
2008/4/2,131550,73000
2008/4/3,130800,61300
2008/4/4,130800,31700
2008/4/7,132475,37900
2008/4/8,132000,74800
2008/4/9,131450,90800
2008/4/10,131240,50300
2008/4/11,130300,46400
2008/4/14,128515,73600
2008/4/15,128600,48000
2008/4/16,129475,59200
2008/4/17,128540,70400
2008/4/18,128600,98000
2008/4/21,128200,46800
2008/4/22,127200,42100
2008/4/23,127200,54600
2008/4/24,126750,56400
2008/4/25,126875,46300
2008/4/28,128460,142800
2008/4/29,131450,95800
2008/4/30,133850,91000
2008/5/1,133900,59300
2008/5/2,133600,76700
2008/5/5,130000,94200
2008/5/6,130200,80200
2008/5/7,128400,78100
2008/5/8,129000,46800
2008/5/9,125200,128800
2008/5/12,122800,184800
2008/5/13,124000,81000
2008/5/14,123500,71100
2008/5/15,121510,87800
2008/5/16,122400,94500
