date,close,volume
2019/3/1,203.13,3529405
2019/3/4,201.81,4640383
2019/3/5,201.47,5268386
2019/3/6,200.67,3216616
2019/3/7,199.3,5105452
2019/3/8,198.7,3755102
2019/3/11,202.09,3996747
2019/3/12,202.5,3654787
2019/3/13,204.06,3615939
2019/3/14,203.38,2873298
2019/3/15,204.31,7738851
2019/3/18,206.68,3883018
2019/3/19,205.15,3881533
2019/3/20,203.27,4053149
2019/3/21,204.43,4130454
2019/3/22,200.55,5871245
2019/3/25,199.44,4057449
2019/3/26,200.62,3737809
2019/3/27,199.21,3619106
2019/3/28,200.66,3233084
2019/3/29,200.89,4619666
2019/4/1,205,4671599
2019/4/2,203.88,2599648
2019/4/3,203.67,2864436
2019/4/4,204.1,2436477
2019/4/5,205.33,3363396
2019/4/8,205.25,2623116
2019/4/9,204.92,2589160
2019/4/10,204.52,2632155
2019/4/11,206.67,2987852
2019/4/12,210.56,4668611
2019/4/15,209.74,2587520
2019/4/16,211.8,2644628
2019/4/17,210.37,2848232
2019/4/18,209.99,2590769
2019/4/22,209.49,1929247
2019/4/23,211.61,3474716
2019/4/24,210.57,3207821
2019/4/25,211.95,3152140
2019/4/26,214.22,3155383
2019/4/29,216.58,3467613
2019/4/30,216.71,3611084
2019/5/1,216.71,3769217
2019/5/2,215.93,2646680
2019/5/3,218.6,3379478
2019/5/6,213.16,5657206
2019/5/7,209.43,5265004
2019/5/8,209.29,3837500
2019/5/9,208.56,4251265
2019/5/10,209.02,4075414
2019/5/13,205.01,5186169
2019/5/14,203.69,3967548
2019/5/15,202.98,4023520
2019/5/16,204.63,3074019
2019/5/17,203.27,4614709
2019/5/20,202.73,2645260
2019/5/21,203.36,2664427
2019/5/22,202.6,2775727
2019/5/23,201.3,4736859
2019/5/24,201.69,3314345
2019/5/28,199.7,6914939
2019/5/29,198.52,4625776
2019/5/30,199.74,3645737
2019/5/31,197.42,3682925
2019/6/3,198.56,3978429
2019/6/4,201.59,4111651
2019/6/5,203.3,3210940
2019/6/6,204.77,3004597
2019/6/7,205.81,2672025
2019/6/10,207.16,2865494
2019/6/11,206.63,2545659
2019/6/12,204.57,2833414
2019/6/13,204.99,2257756
