date,close,volume
2007/10/1,79.18,765000
2007/10/2,79.93,790000
2007/10/3,79.64,630000
2007/10/4,79.4,925000
2007/10/5,80.58,950000
2007/10/8,82.1998,1035000
2007/10/9,81.78,1010000
2007/10/10,83.2,1115000
2007/10/11,83.9,645000
2007/10/12,84.678,1620000
2007/10/15,84.16,1010000
2007/10/16,84.64,695000
2007/10/17,86.7,1735000
2007/10/18,86,865000
2007/10/19,84.86,805000
2007/10/22,84.26,555000
2007/10/23,85.12,760000
2007/10/24,84.94,520000
2007/10/25,85.05,745000
2007/10/26,84.66,750000
2007/10/29,85.46,600000
2007/10/30,85.8,495000
2007/10/31,88.28,1035000
2007/11/1,87.54,1405000
2007/11/2,88.04,865000
2007/11/5,88.742,1840000
2007/11/6,89.47,2340000
2007/11/7,90.055,1065000
2007/11/8,89.7,1675000
2007/11/9,88.66,1705000
2007/11/12,89.38,1550000
2007/11/13,90.48,1615000
2007/11/14,91.4,2000000
2007/11/15,90.11,1190000
2007/11/16,90.878,895000
2007/11/19,91.3,1005000
2007/11/20,91.03,1270000
2007/11/21,89.43,1495000
2007/11/23,89.5,525000
2007/11/26,91.26,1490000
2007/11/27,91.54,975000
2007/11/28,91.5,1600000
2007/11/29,92.76,760000
2007/11/30,93.8,1035000
2007/12/3,95,1575000
2007/12/4,96.45,1505000
2007/12/5,98.1,1645000
2007/12/6,99.02,1170000
2007/12/7,99,1650000
2007/12/10,99.7,1075000
2007/12/11,98.44,1085000
2007/12/12,96.18,1675000
2007/12/13,94.7,1525000
2007/12/14,95.08,1515000
2007/12/17,90.5,1975000
2007/12/18,90.2,2215000
2007/12/19,89.56,595000
2007/12/20,88.82,1190000
2007/12/21,89.5,1385000
2007/12/24,90.8,745000
2007/12/26,91.4,1190000
2007/12/27,91.46,630000
2007/12/28,93.7,940000
2007/12/31,94.72,1050000
2008/1/2,92.1,1780000
2008/1/3,93,1040000
2008/1/4,91,1415000
2008/1/7,88.76,1285000
2008/1/8,88.3,1030000
2008/1/9,86.3,1475000
2008/1/10,89.218,1320000
2008/1/11,87.54,835000
2008/1/14,86.55,545000
2008/1/15,85.32,1075000
2008/1/16,84.5,1140000
2008/1/17,86.96,1455000
2008/1/18,88.1,1450000
2008/1/22,91.38,1970000
2008/1/23,92,1690000
2008/1/24,92.38,2090000
2008/1/25,92.6,1890000
2008/1/28,90.4,885000
2008/1/29,92.9,940000
2008/1/30,92.32,1175000
2008/1/31,91,1460000
2008/2/1,90.46,915000
2008/2/4,90.02,700000
2008/2/5,90.9,845000
2008/2/6,90.8,605000
2008/2/7,90.76,735000
2008/2/8,91.84,705000
2008/2/11,92.9,820000
2008/2/12,93.18,1530000
2008/2/13,95.362,2540000
2008/2/14,95.38,1440000
2008/2/15,95.9,770000
2008/2/19,95.8,840000
2008/2/20,95.5,600000
2008/2/21,94.02,630000
2008/2/22,92.96,645000
2008/2/25,93.12,600000
2008/2/26,92.52,710000
2008/2/27,93.685,545000
2008/2/28,93.2,695000
2008/2/29,93.49,910000
2008/3/3,90.18,2075000
2008/3/4,91.5,1295000
2008/3/5,92.18,950000
2008/3/6,90.44,760000
2008/3/7,89.24,1005000
2008/3/10,87.26,1140000
2008/3/11,88,1280000
2008/3/12,87.14,910000
2008/3/13,86.68,810000
2008/3/14,86.36,1150000
2008/3/17,84.9,1420000
2008/3/18,86.11,940000
2008/3/19,85.31,1015000
2008/3/20,86.96,1485000
2008/3/24,86.82,1110000
2008/3/25,86,1160000
2008/3/26,85.64,1005000
2008/3/27,87.4,1010000
2008/3/28,89.04,905000
2008/3/31,89.46,1135000
2008/4/1,88.8,1815000
2008/4/2,87.29,1535000
2008/4/3,86.84,910000
2008/4/4,87.38,820000
2008/4/7,88.1,740000
2008/4/8,88.3,835000
2008/4/9,87.8,805000
2008/4/10,87.58,720000
2008/4/11,87.08,740000
2008/4/14,85.72,1075000
2008/4/15,85.8,765000
2008/4/16,86.4,905000
2008/4/17,85.64,825000
2008/4/18,85.76,1115000
2008/4/21,85.5,740000
2008/4/22,84.82,745000
2008/4/23,84.72,700000
2008/4/24,84.5,830000
2008/4/25,84.6,770000
2008/4/28,85.42,1055000
2008/4/29,87.658,880000
2008/4/30,89.14,1345000
2008/5/1,89.2,740000
2008/5/2,88.96,920000
2008/5/5,86.67,1425000
2008/5/6,86.9,1685000
2008/5/7,85.25,1595000
2008/5/8,85.6,1085000
2008/5/9,83.58,1840000
2008/5/12,81.9,1945000
2008/5/13,82.96,1135000
2008/5/14,82.39,2000000
2008/5/15,81.3,2045000
2008/5/16,81.538,1570000
